ANIMAL FAM TRT_1 TRT_2 TRT_3
1 11 -1.9683434405254 -0.560475646552213 4.87194048014706
2 21 -1.0918805524487 -0.23017748948328 2.70231363436546
3 31 -0.199974494877839 1.55870831414912 1.77357195441786
4 41 0.0299706560108323 0.070508391424576 1.47295922455147
5 51 1.68015807221814 0.129287735160946 -3.47524981090978
6 61 0.916014983087448 1.71506498688328 2.51759068031965
7 71 0.647582353546346 0.460916205989202 1.62631986561606
8 81 0.0192496000074201 -1.26506123460653 1.21086220281696
9 91 -0.284940468642146 -0.686852851893526 0.171601031324856
10 101 -0.748806760339514 -0.445661970099958 -3.81314364930345
11 111 -0.60697837820031 1.22408179743946 0.460781255930185
12 121 0.565377297971641 0.359813827057364 3.76486828565294
13 131 -0.265603131966518 0.400771450594052 -1.8351388795439
14 141 0.529600754828289 0.11068271594512 -5.40254774243026
15 151 -1.71424524212071 -0.555841134754075 5.5140836105578
16 161 -0.351777809449614 1.78691313680308 -1.69283381035883
17 171 -0.200224408280447 0.497850478229239 3.42106980195715
18 181 0.156518552720582 -1.96661715662964 1.87216041141844
19 191 2.05580126179336 0.701355901563686 4.97320830073667
20 201 0.481713625275539 -0.472791407727934 -0.126271753641927
21 211 -0.427877589139097 -1.06782370598685 -0.901333584518961
22 221 -1.17414195871556 -0.217974914658295 5.1967739374551
23 231 -1.27135121928952 -1.02600444830724 6.46958947019843
24 241 0.639372302329928 -0.72889122929114 0.955556641053761
25 251 0.522493073957992 -0.625039267849257 0.509541136570321
26 261 -0.93722633897489 -1.68669331074241 2.22704849487317
27 271 0.106070435700315 0.837787044494525 -2.01761007122859
28 281 2.41464899812559 0.153373117836515 1.49347845716232
29 291 -0.873952390620016 -1.13813693701195 -2.96883600642214
30 301 -1.39717935945602 1.25381492106993 -0.89243884323689
31 311 0.132378241227938 0.426464221476814 2.38465060149501
32 321 -0.78096992834975 -0.295071482992271 -2.28886023052609
33 331 1.48823145182232 0.895125661045022 2.55258187089432
34 341 -2.57418169439179 0.878133487533042 1.50653717905828
35 351 -0.244567249415492 0.821581081637487 4.30122760654818
36 361 -1.83358549259912 0.688640254100091 6.4969889680642
37 371 0.29589228076494 0.553917653537589 -1.72612727271162
38 381 -0.916836614633664 -0.0619117105767217 1.17191649781012
39 391 -0.597309709862496 -0.305962663739917 4.67599134328764
40 401 -0.084397567574109 -0.380471001012383 0.597136283179657
41 411 -0.98466999241458 -0.694706978920513 -1.96143900395904
42 421 0.625087853873923 -0.207917278019599 -2.99271241624572
43 431 -0.692340596771808 -1.26539635156826 4.20133290962789
44 441 1.3105892798825 2.16895596533851 7.79847511705212
45 451 -0.691694438562009 1.20796199830499 -3.14190084903274
46 461 -0.114206046850542 -1.12310858320335 0.331611912066299
47 471 0.466376789153937 -0.402884835299076 -4.70420743684305
48 481 -0.797446381474734 -0.466655353623219 0.209013618942456
49 491 0.617930190323104 0.779965118336318 -0.921539594256962
50 501 -1.13020534703631 -0.0833690664718293 -0.0361598587611662
51 511 -0.0333032923440428 0.253318513994755 8.68456317241402
52 521 -0.195371450782908 -0.028546755348703 -4.19604143537901
53 531 0.870619754286805 -0.0428704572913161 1.29634020511936
54 541 -0.551914481061852 1.36860228401446 5.49797315013406
55 551 -2.08562889835302 -0.225770985659268 -1.83306763024759
56 561 1.31985171876452 1.51647060442954 -2.45802813948056
57 571 -0.595381249600448 -1.54875280423022 0.14492838133743
58 581 -0.129792796374752 0.584613749636069 3.90165410986929
59 591 0.573587349188058 0.123854243844614 -1.02937452121498
60 601 0.840967591063563 0.215941568743973 -3.07737381233503
61 611 -1.13020534703631 0.379639482759882 0.211645625377667
62 621 -0.510082644713801 -0.502323453109302 -6.05345780433221
63 631 -0.438598645142509 -0.33320738366942 -4.4263653629613
64 641 0.107529052821712 -1.01857538310709 3.25938839427289
